project_name,date,active_addresses_aggregation_daily,active_addresses_aggregation_monthly,active_addresses_aggregation_over_30_day_window,active_contracts_daily,active_contracts_monthly,active_contracts_weekly,active_developers_daily,active_developers_weekly,closed_issues_daily,closed_issues_monthly,closed_issues_weekly,comments_daily,comments_weekly,commits_daily,commits_weekly,contributors_daily,contributors_weekly,forks_daily,forks_weekly,gas_fees_daily,gas_fees_monthly,gas_fees_over_180_day_window,gas_fees_over_30_day_window,gas_fees_over_90_day_window,gas_fees_weekly,merged_pull_requests_daily,merged_pull_requests_monthly,merged_pull_requests_weekly,opened_issues_daily,opened_issues_monthly,opened_issues_weekly,opened_pull_requests_daily,opened_pull_requests_monthly,opened_pull_requests_weekly,releases_daily,releases_weekly,repositories_daily,repositories_weekly,stars_daily,stars_weekly,transactions_daily,transactions_monthly,transactions_over_180_day_window,transactions_weekly
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-10,,,,,,,,,,,,,,,,,,,,0.0003835539283345,,,,,,,,,,,,,,,,,,,,,767.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-11,,,,,,,,,,,,,,,,,,,,0.0001657908418614,,,,,,,,,,,,,,,,,,,,,310.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-12,,,,,,,,,,,,,,,,,,,,0.0001861474368024,,,,,,,,,,,,,,,,,,,,,307.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-13,,,,,,,,,,,,,,,,,,,,5.9054056358445994e-05,,,,,,,,,,,,,,,,,,,,,91.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-14,,,,,,,,,,,,,,,,,,,,6.2010340051786e-05,,,,,,,,,,,,,,,,,,,,,93.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-15,,,,,,,,,,,,,,,,,,,,0.0001236960367295,,,,,0.0025762773768529,,,,,,,,,,,,,,,,190.0,,,4020.0
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-16,,,,,,,,,,,,,,,,,,,,0.0016954239948147,,,,,,,,,,,,,,,,,,,,,2454.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-17,,,,,,,,,,,,,,,,,,,,0.0004845797971619,,,,,,,,,,,,,,,,,,,,,945.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-18,,,,,,,,,,,,,,,,,,,,7.586563954674399e-05,,,,,,,,,,,,,,,,,,,,,146.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-19,,,,,,,,,,,,,,,,,,,,5.78057336e-05,,,,,,,,,,,,,,,,,,,,,90.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-20,,,,,,,,,,,,,,,,,,,,4.0214981e-05,,,,,,,,,,,,,,,,,,,,,75.0,,,
0x02065e72fe4eebfa1ebca19238e6147c8571c2b7fefae4e86e62ce768edceeb9,2023-05-21,,,,,,,,,,,,,,,,,,,,9.869119400000002e-05,,,,,,,,,,,,,,,,,,,,,120.0,,,
